exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2024,2,2024B2,RJ,Governo do Estado do Rio de Janeiro,33,52148922823.19,52.148922823190006,49308978017.66,0.057594882711072826,5.759488271107283
2025,1,2025B1,RJ,Governo do Estado do Rio de Janeiro,33,57780135407,57.780135407,51392540426.08,0.1242903138852911,12.429031388529111
2025,2,2025B2,RJ,Governo do Estado do Rio de Janeiro,33,59693878892.69,59.69387889269,52148922823.19,0.14468095717108165,14.468095717108165
2026,1,2026B1,RJ,Governo do Estado do Rio de Janeiro,33,64721415649.24,64.72141564924,57780135407,0.12013264062719853,12.013264062719852
2026,2,2026B2,RJ,Governo do Estado do Rio de Janeiro,33,66412554632.14,66.41255463214,59693878892.69,0.11255217225082603,11.255217225082603
2022,1,2022B1,RN,Governo do Estado do Rio Grande do Norte,24,6918366773.26,6.91836677326,NA,NA,NA
2022,2,2022B2,RN,Governo do Estado do Rio Grande do Norte,24,7093735239.89,7.09373523989,NA,NA,NA
2023,1,2023B1,RN,Governo do Estado do Rio Grande do Norte,24,7260600385.36,7.26060038536,6918366773.26,0.04946739936118405,4.946739936118405
2023,2,2023B2,RN,Governo do Estado do Rio Grande do Norte,24,7282869990.76,7.28286999076,7093735239.89,0.026662223000154306,2.6662223000154306
2024,1,2024B1,RN,Governo do Estado do Rio Grande do Norte,24,8454105855.02,8.45410585502,7260600385.36,0.1643810988505221,16.43810988505221
2024,2,2024B2,RN,Governo do Estado do Rio Grande do Norte,24,8492038419.18,8.49203841918,7282869990.76,0.1660291107700822,16.60291107700822
2025,1,2025B1,RN,Governo do Estado do Rio Grande do Norte,24,8570300055.07,8.57030005507,8454105855.02,0.013744114639989258,1.3744114639989258
2025,2,2025B2,RN,Governo do Estado do Rio Grande do Norte,24,8736113212.66,8.73611321266,8492038419.18,0.02874160259670222,2.874160259670222
2026,1,2026B1,RN,Governo do Estado do Rio Grande do Norte,24,9594995968.16,9.59499596816,8570300055.07,0.1195635982994332,11.95635982994332
2026,2,2026B2,RN,Governo do Estado do Rio Grande do Norte,24,9848491155.72,9.84849115572,8736113212.66,0.12733098987865565,12.733098987865565
2022,1,2022B1,RO,Governo do Estado de Rondônia,11,6027458780.54,6.02745878054,NA,NA,NA
2022,2,2022B2,RO,Governo do Estado de Rondônia,11,6177303348.39,6.177303348390001,NA,NA,NA
2023,1,2023B1,RO,Governo do Estado de Rondônia,11,5785614871.92,5.78561487192,6027458780.54,-0.04012369348767797,-4.0123693487677965
2023,2,2023B2,RO,Governo do Estado de Rondônia,11,5793266681.84,5.7932666818400005,6177303348.39,-0.06216898295112738,-6.216898295112738
2024,1,2024B1,RO,Governo do Estado de Rondônia,11,6461195167.76,6.461195167760001,5785614871.92,0.11676897111124229,11.67689711112423
2024,2,2024B2,RO,Governo do Estado de Rondônia,11,6615077970.56,6.615077970560001,5793266681.84,0.14185628486534374,14.185628486534373
2025,1,2025B1,RO,Governo do Estado de Rondônia,11,7540671675.65,7.54067167565,6461195167.76,0.16707071677332386,16.707071677332387
